Symbol,Security,ESG Risk Score,Environment Risk Score,Social Risk Score,Governance Risk Score,Controversy Level,Data Date
MMM,3M Company,35,13.2,13.6,8.1,3,2021-05
ABT,Abbott Laboratories,30,3.1,16.2,10.6,3,2021-05
ABBV,AbbVie Inc.,29,0.6,17.1,11.3,3,2021-05
ABMD,Abiomed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ACN,Accenture,11,0.6,5,5.8,2,2021-05
ATVI,Activision Blizzard,16,0.2,9.8,6.2,2,2021-05
ADBE,Adobe Inc.,11,0.5,5.7,4.7,1,2021-05
AMD,Advanced Micro Devices,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AAP,Advance Auto Parts,12,0.1,8.7,3.3,2,2021-05
AES,AES Corp,35,20.8,8.3,5.8,2,2021-05
AFL,Aflac,23,2.5,7.9,12.9,2,2021-05
A,Agilent Technologies,17,0.9,9.4,6.3,2,2021-05
APD,Air Products & Chemicals,11,6.1,1.4,3.7,1,2021-05
AKAM,Akamai Technologies,21,1.9,11.8,7.6,1,2021-05
ALK,Alaska Air Group,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albemarle Corporation,37,19.1,8.9,8.7,1,2021-05
ARE,Alexandria Real Estate Equities,15,3,6.3,5.9,0,2021-05
ALXN,Alexion Pharmaceuticals,19,0.1,12,6.5,1,2021-05
ALGN,Align Technology,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALLE,Allegion,23,12.3,4.2,6.6,0,2021-05
LNT,Alliant Energy,28,14.3,7.4,6.3,2,2021-05
ALL,Allstate Corp,21,1.7,7.7,11.2,2,2021-05
GOOGL,Alphabet Inc. (Class A),22,0.5,9.9,11.9,4,2021-05
GOOG,Alphabet Inc. (Class C),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MO,Altria Group Inc,25,5.9,12.8,6.5,2,2021-05
AMZN,Amazon.com Inc.,27,5.1,12.5,9.6,3,2021-05
AMCR,Amcor plc,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AEE,Ameren Corp,34,15.5,12.2,5.9,2,2021-05
AAL,American Airlines Group,28,9.8,12.6,5.6,2,2021-05
AEP,American Electric Power,35,20,9.8,5.3,2,2021-05
AXP,American Express,19,0.1,9.8,9.1,2,2021-05
AIG,American International Group,27,1.9,10.8,14,2,2021-05
AMT,American Tower Corp.,12,3.7,3.8,4.8,0,2021-05
AWK,American Water Works,28,13.1,9.3,5.3,2,2021-05
AMP,Ameriprise Financial,26,2.3,10.7,12.8,2,2021-05
ABC,AmerisourceBergen,13,0.8,6.3,5.6,3,2021-05
AME,Ametek,26,8.3,9.9,7.7,1,2021-05
AMGN,Amgen Inc.,19,0,12.8,6.3,2,2021-05
APH,Amphenol Corp,24,10.1,6,7.7,2,2021-05
ADI,"Analog Devices, Inc.",26,11,7.5,7,0,2021-05
ANSS,"ANSYS, Inc.",15,1.1,9,4.8,0,2021-05
ANTM,Anthem,12,0,7,5.3,2,2021-05
AON,Aon plc,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AOS,A.O. Smith Corp,26,7.1,11.6,6.8,2,2021-05
APA,APA Corporation,39,22,8.9,8,2,2021-03
AAPL,Apple Inc.,17,0.3,7.7,8.9,3,2021-05
AMAT,Applied Materials Inc.,15,5.3,3.9,5.4,0,2021-05
